COURSE,TOPICS,SUBTOPIC,SCREENCAST TITLE,DESCRIPTION,DURATION,YouTube VIDEO ID,YouTube PLAYLIST ID (optional),URL
Engineering Computing,Excel,Basics,Excel Goal Seek Introduction,Explains how to use goal seek in Excel 2010.,,1XqOP04vu7A,PL587E12CFE1977F08,https://www.youtube.com/watch?v=1XqOP04vu7A&list=PL587E12CFE1977F08
Engineering Computing,Excel,Basics,Excel Solver Introduction,Describes how to use the solver function in Excel 2010.,,R9tIpNqAXKk,PL587E12CFE1977F08,https://www.youtube.com/watch?v=R9tIpNqAXKk&list=PL587E12CFE1977F08
Engineering Computing,Excel,Basics,Excel Syntax and Order of Operations,Explains the order of operations in an excel formula and goes through several examples of converting algebraic formulas into Excel syntax.,,Vjf-U248Bis,,https://www.youtube.com/watch?v=Vjf-U248Bis
Engineering Computing,Excel,Basics,Formatting in Excel,Presents some simple formatting tips for Excel 2010.,,HZPTeUO6bgs,PL587E12CFE1977F08,https://www.youtube.com/watch?v=HZPTeUO6bgs&list=PL587E12CFE1977F08
Engineering Computing,Excel,Basics,Formatting Numbers in Excel,Demonstrates several ways to format numbers in Excel 2010.,,hl6bnb6UCCc,PL587E12CFE1977F08,https://www.youtube.com/watch?v=hl6bnb6UCCc&list=PL587E12CFE1977F08
Engineering Computing,Excel,Basics,Golden Section Search Method,Describes how the Golden Search Method works and then describes how to set it up in Microsoft Excel.,,hLm8xfwWYPw,,https://www.youtube.com/watch?v=hLm8xfwWYPw
Engineering Computing,Excel,Basics,Importing Data into Excel,Demonstrates how to import data into Excel 2010.,,cL7XQ-uvsf0,PL587E12CFE1977F08,https://www.youtube.com/watch?v=cL7XQ-uvsf0&list=PL587E12CFE1977F08
Engineering Computing,Excel,Basics,Introduction to Excel-1,An introduction to using Excel 2010; part 1 of a series in which formatting and manipulating of cells is explained.,,JXvEJ_HlHD0,PL587E12CFE1977F08,https://www.youtube.com/watch?v=JXvEJ_HlHD0&list=PL587E12CFE1977F08
Engineering Computing,Excel,Basics,Introduction to Excel-2,An introduction to using Excel 2010; part 2 of a series in which the file menu is explained.,,sBMbKi0Yx2g,PL587E12CFE1977F08,https://www.youtube.com/watch?v=sBMbKi0Yx2g&list=PL587E12CFE1977F08
Engineering Computing,Excel,Basics,Introduction to Excel-3,An introduction to using Excel 2010; part 3 of a series in which the use of tabs in the ribbon are explained.,,EdKi3hROre4,PL587E12CFE1977F08,https://www.youtube.com/watch?v=EdKi3hROre4&list=PL587E12CFE1977F08
Engineering Computing,Excel,Basics,Iterative Solutions/Excel,Explains how to solve an equation using an iterative approach in Excel 2010.,,tLTm_POao1c,PL587E12CFE1977F08,https://www.youtube.com/watch?v=tLTm_POao1c&list=PL587E12CFE1977F08
Engineering Computing,Excel,Basics,Linear Regression in Excel,Shows how to use the regression tool in Excel for a simple linear regression.,,76iraw-N3nE,,https://www.youtube.com/watch?v=76iraw-N3nE
Engineering Computing,Excel,Basics,Lookup Functions in Excel Part 1: VLOOKUP,Demonstrates how to use VLOOKUP to look through a table to find various values.,,0lIhyTIocr0,,https://www.youtube.com/watch?v=0lIhyTIocr0
Engineering Computing,Excel,Basics,"Lookup Functions in Excel Part 2: MATCH, OFFSET, and INDEX Functions","Explains the different excel functions MATCH, OFFSET, and INDEX and goes through an example that utilizes all the of the functions.",,sQFSlmcOw4c,,https://www.youtube.com/watch?v=sQFSlmcOw4c
Engineering Computing,Excel,Basics,Naming Cells in Excel,Demonstrates how to name cells and manage named cells in Excel 2010.,,q-bj9WKeibs,PL587E12CFE1977F08,https://www.youtube.com/watch?v=q-bj9WKeibs&list=PL587E12CFE1977F08
Engineering Computing,Excel,Basics,Referencing Cells in Excel,"Demonstrates the difference between absolute, mixed, and relative referencing in Excel.",,F5XPNlrrXng,,https://www.youtube.com/watch?v=F5XPNlrrXng
Engineering Computing,Excel,Basics,Solving Optimization Problems in Excel,Demonstrates how to use the Solver tool to solve optimization problems in Excel.,,dsNQrW7ZiFw,,https://www.youtube.com/watch?v=dsNQrW7ZiFw
Engineering Computing,Excel,Basics,Using Excel's Matrix Functions to Solve Linear Systems of Equations,Demonstrates how to use Excel to solve systems of linear equations using the MMULT and MINVERSE functions.,,LgDDCtV7Vyo,,https://www.youtube.com/watch?v=LgDDCtV7Vyo
Engineering Computing,Excel,Basics,When Iterative Solving Does Not Work in Excel,Uses an example to show that iterative solving doesn't always work and how that can sometimes be avoided.,,eXwBK-cRGIA,,https://www.youtube.com/watch?v=eXwBK-cRGIA
Engineering Computing,Excel,Plots,3D Plots in Excel,Explains how to create a three-dimensional surface plot in Excel 2010.,,jUoo_7KQfO0,PL587E12CFE1977F08,https://www.youtube.com/watch?v=jUoo_7KQfO0&list=PL587E12CFE1977F08
Engineering Computing,Excel,Plots,Bar Graphs in Excel,Explains how to make a bar graph using Excel 2010.,,80GQKUtm4R4,PL587E12CFE1977F08,https://www.youtube.com/watch?v=80GQKUtm4R4&list=PL587E12CFE1977F08
Engineering Computing,Excel,Plots,Creating a Scatter Plot Using Regression Analysis,Plots experimental and theoretical data using regression analysis. ,,REhUr6ecf90,PL587E12CFE1977F08,https://www.youtube.com/watch?v=REhUr6ecf90&list=PL587E12CFE1977F08
Engineering Computing,Excel,Plots,Histogram in Excel,Demonstrates how to generate a histogram using Microsoft Excel.,,0Tiies5OALk,,https://www.youtube.com/watch?v=0Tiies5OALk
Engineering Computing,Excel,Plots,Line Plots in Excel,Explains how to make a line plot using Excel 2010.,,wU6pna3kQrA,PL587E12CFE1977F08,https://www.youtube.com/watch?v=wU6pna3kQrA&list=PL587E12CFE1977F08
Engineering Computing,Excel,Plots,Linearize/Plot Non-Linear Equations (Excel),Demonstrates how to linearize and plot non-linear equations using Excel 2010.,,Zk08hWQje0M,PL587E12CFE1977F08,https://www.youtube.com/watch?v=Zk08hWQje0M&list=PL587E12CFE1977F08
Engineering Computing,Excel,Plots,Overview of Pie Charts and Bar Graphs in Excel,Discusses the differences between and the best uses of pie charts and bar graphs in Excel 2010.,,K4ZuXrnl09s,PL587E12CFE1977F08,https://www.youtube.com/watch?v=K4ZuXrnl09s&list=PL587E12CFE1977F08
Engineering Computing,Excel,Plots,Overview of Scatter and Line Plots in Excel,Explains the differences in and the uses of scatter and line plots in Excel 2010.,,jC5vv3ubVAM,PL587E12CFE1977F08,https://www.youtube.com/watch?v=jC5vv3ubVAM&list=PL587E12CFE1977F08
Engineering Computing,Excel,Plots,Pie Charts in Excel,Explains how to make a pie chart in Excel 2010.,,_N1jWzx4JEQ,PL587E12CFE1977F08,https://www.youtube.com/watch?v=_N1jWzx4JEQ&list=PL587E12CFE1977F08
Engineering Computing,Excel,Plots,Scatter Plots in Excel,Explains how to make a scatter plot using Excel 2010.,,EiZAW0uxq_U,PL587E12CFE1977F08,https://www.youtube.com/watch?v=EiZAW0uxq_U&list=PL587E12CFE1977F08
Engineering Computing,Excel,Plots,Trend Lines in Excel,Explains how to graph trend lines in Excel 2010.,,EN-h9qpdFGM,PL587E12CFE1977F08,https://www.youtube.com/watch?v=EN-h9qpdFGM&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Basics,Arrays in VBA,Explains how to manipulate arrays using VBA.,,vNYbkMAvelI,PL587E12CFE1977F08,https://www.youtube.com/watch?v=vNYbkMAvelI&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Basics,Basic Error Handling in VBA,Demonstrates how to handle errors in VBA.,,DvJH15dfcCM,,https://www.youtube.com/watch?v=DvJH15dfcCM
Engineering Computing,Excel,VBA Basics,Basic Excel Macro Recording,Demonstrates how to record a macro in Microsoft Excel.,,v4Uo5gMSqAg,,https://www.youtube.com/watch?v=v4Uo5gMSqAg
Engineering Computing,Excel,VBA Basics,Bisection Method in VBA,Demonstrates how write VBA code to solve a problem using the bisection method.,,BVgLOlI4z4I,PL587E12CFE1977F08,https://www.youtube.com/watch?v=BVgLOlI4z4I&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Basics,Borrowing Excel Functions in VBA,Demonstrates how to use Microsoft Excel functions in VBA code.,,3DZdoEi9XsE,,https://www.youtube.com/watch?v=3DZdoEi9XsE
Engineering Computing,Excel,VBA Basics,"Common Objects, Properties, and Methods in VBA","Demonstrates how to use common objects, properties, and methods in VBA to access cells in various spreadsheets.",,ecDq2_9MvTk,,https://www.youtube.com/watch?v=ecDq2_9MvTk
Engineering Computing,Excel,VBA Basics,"Declaration of Variables, Data Types, and Scope of Variables in VBA","Describes the different types of variables and the scope of the variables in VBA, as well as showing how to use a static variable.",,lzxf48Mvvqo,,https://www.youtube.com/watch?v=lzxf48Mvvqo
Engineering Computing,Excel,VBA Basics,Excel Macros,Demonstrates how to use the macro recorder to write a simple program in VBA/Excel.,,HARo18a-G5c,PL587E12CFE1977F08,https://www.youtube.com/watch?v=HARo18a-G5c&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Basics,How to Debug in VBA,Explains how to debug code in the VBA editor,,U9tqvXYL9zw,,https://www.youtube.com/watch?v=U9tqvXYL9zw
Engineering Computing,Excel,VBA Basics,Import/Export Data Using VBA,Demonstrates how to import data into VBA from Excel and export data from VBA into Excel.,,DyoB0JpaNZA,PL587E12CFE1977F08,https://www.youtube.com/watch?v=DyoB0JpaNZA&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Basics,Introduction to If Statements,Demonstrates the structure of programming and if-statements. Also explains two separate examples of one-way if statements in subroutines.,,pLNXPHv2U7w,,https://www.youtube.com/watch?v=pLNXPHv2U7w
Engineering Computing,Excel,VBA Basics,"Introduction to Objects, Properties, Methods, and Events in VBA","A brief introduction to different types of VBA objects with their various properties, methods and events.",,qG8URPBYlwk,,https://www.youtube.com/watch?v=qG8URPBYlwk
Engineering Computing,Excel,VBA Basics,Message Boxes in VBA,Introduction to message boxes in Visual Basic for Applications.,,iUWFz294Cdc,PL587E12CFE1977F08,https://www.youtube.com/watch?v=iUWFz294Cdc&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Basics,Microsoft Excel Event Handlers,"Demonstrates how to use event handlers in Microsoft Excel, which are programs that run before an ""event"" occurs in a spreadsheet.",,D3epclQwBRc,,https://www.youtube.com/watch?v=D3epclQwBRc
Engineering Computing,Excel,VBA Basics,Multi Alternative If-Then Statements in VBA,Demonstrates how to set up a multi if statement in VBA using the example of a grader.,,LbrgwdXPhww,,https://www.youtube.com/watch?v=LbrgwdXPhww
Engineering Computing,Excel,VBA Basics,Using the Option Explicit Statement in VBA,Shows how the option explicit statement can be used to force all variables to be declared in VBA code to help catch spelling errors and debug code.,,M-Br2bfjFM4,,https://www.youtube.com/watch?v=M-Br2bfjFM4
Engineering Computing,Excel,VBA Basics,VBA Basics,"Introduces how to copy, paste, clear, and assign macros a button using VBA.",,X6ZxqrXpbt0,PL587E12CFE1977F08,https://www.youtube.com/watch?v=X6ZxqrXpbt0&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Basics,VBA Macros: Relative vs. Absolute Referencing,Compares relative and absolute referencing when recording a VBA macro.,,_P8ghMk9F1A,PL587E12CFE1977F08,https://www.youtube.com/watch?v=_P8ghMk9F1A&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Basics,VBA Programs 1,Discusses types of sequence and selection code in VBA.,,DUsMy3_L_XM,PL587E12CFE1977F08,https://www.youtube.com/watch?v=DUsMy3_L_XM&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Basics,VBA Programs 2,Discusses types of repetition code in VBA.,,PUiAFFLLXss,PL587E12CFE1977F08,https://www.youtube.com/watch?v=PUiAFFLLXss&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Basics,VBA Syntax and Built-in Functions,Describes common built-in functions that can be used in VBA and shows a few examples of VBA syntax.,,rNRBASQah-k,,https://www.youtube.com/watch?v=rNRBASQah-k
Engineering Computing,Excel,VBA Basics,VBA: Advanced Input Boxes,Demonstrates how to create customized input boxes in VBA.,,8atTmLXiOq0,,https://www.youtube.com/watch?v=8atTmLXiOq0
Engineering Computing,Excel,VBA Basics,VBA: Advanced Message Boxes,Discusses how to use multiple arguments to create custom message boxes in VBA.,,GsafWwUqsbc,,https://www.youtube.com/watch?v=GsafWwUqsbc
Engineering Computing,Excel,VBA Basics,VBA: Data Extraction,Shows how to extract data from multiple Excel files using VBA.,,SOsdMTYN8tQ,PL587E12CFE1977F08,https://www.youtube.com/watch?v=SOsdMTYN8tQ&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Basics,VBA: One-Way If Then,Simple example of the one-way if then function in VBA.,,FZWtoGC-1NQ,PL587E12CFE1977F08,https://www.youtube.com/watch?v=FZWtoGC-1NQ&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Basics,VBA: ReDim Preserve Command,Demonstrates how to use the ReDim Preserve command which saves previous values when resizing an array. Also shows when the ReDim Preserve does not work.,,-mAY-1uKEYc,,https://www.youtube.com/watch?v=-mAY-1uKEYc
Engineering Computing,Excel,VBA Basics,VBA: ReDim Preserve Example,Demonstrates how to use the ReDim Preserve command in VBA when resizing vectors.,,MeH28RRjrRQ,,https://www.youtube.com/watch?v=MeH28RRjrRQ
Engineering Computing,Excel,VBA Basics,VBA: Two-Way If Then,Example of a simple two-way if then statement in VBA.,,PS33wgF6u-s,PL587E12CFE1977F08,https://www.youtube.com/watch?v=PS33wgF6u-s&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Basics,VBA: Modular Programming,Demonstrates how to call various subroutines in a single subroutine using an example of editing a set of data points.,,Rpo8O7xQzeI,,https://www.youtube.com/watch?v=Rpo8O7xQzeI
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,Advanced Input Validation and Error Handling in VBA Part 1,Demonstrates how to use loops in VBA to validate various inputs using a guessing game sub as an example. This is part 1 of 2.,,hBpVU0WMoVU,,https://www.youtube.com/watch?v=hBpVU0WMoVU
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,Advanced Input Validation and Error Handling in VBA Part 2,Demonstrates how to use loops in VBA to validate various inputs using a guessing game sub as an example. This is part 2 of 2.,,-yidi_YN9f0,,https://www.youtube.com/watch?v=-yidi_YN9f0
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,Basic Subroutine in VBA,Creates a basic subroutine in VBA to perform simple calculations.,,-MP9l5acrzQ,PL587E12CFE1977F08,https://www.youtube.com/watch?v=-MP9l5acrzQ&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,Debugging Functions in Excel,Demonstrates how to debug functions in VBA.,,u9VBTF3Z8VI,,https://www.youtube.com/watch?v=u9VBTF3Z8VI
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,Examples of Input and Output Options in VBA Subroutines Part 1,Demonstrates various ways to gather user inputs and output the final calculation in a subroutine. These examples focus on taking a number from the user either form a cell or an input box and outputting the square root either on the spreadsheet or in a message box. See Parts 2 and 3 for more examples.,,RtdxQScg06g,,https://www.youtube.com/watch?v=RtdxQScg06g
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,Examples of Input and Output Options in VBA Subroutines Part 2,Demonstrates various ways to gather user inputs and output the final calculation in a subroutine. These examples focus on taking a number from a section or active cell and taking the output in a message box or offset cell. See Parts 1 and 3 for more examples,,9RKXU2NMGG4,,https://www.youtube.com/watch?v=9RKXU2NMGG4
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,Examples of Input and Output Options in VBA Subroutines Part 3,Demonstrates various ways to gather user inputs and output the final calculation in a subroutine. This example focuses on taking an input from the user and outputting a sum to a specified range on a spreadsheet. See Parts 1 and 2 for more examples.,,C-0JUhfqVx4,,https://www.youtube.com/watch?v=C-0JUhfqVx4
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,Introduction to Subroutines and User-Defined Functions in VBA,Introduces the procedures subroutines and functions in VBA in Excel. Provides an example of each. The subroutine example is explained in more detail here: https://www.youtube.com/watch?v=-MP9l5acrzQ.,,tcNNd7kQ8oU,,https://www.youtube.com/watch?v=tcNNd7kQ8oU
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,Introduction to VBA Input Validation Using Loops,Demonstrates a simple example of how to use input validation for user input in a subroutine using Do Loops and Message Boxes.,,biM9UxujHJ8,,https://www.youtube.com/watch?v=biM9UxujHJ8
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,Local Arrays in VBA,Explains how to create local arrays in VBA as well as import a local array from an Excel Spreadsheet.,,DUa1lvbjx9Q,,https://www.youtube.com/watch?v=DUa1lvbjx9Q
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,Simple VBAs from Scratch,Shows several examples of how to write simple subs in Visual Basic for Applications in Microsoft Excel,,wKSsOGVqoe0,PL587E12CFE1977F08,https://www.youtube.com/watch?v=wKSsOGVqoe0&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,User-Defined Functions as Excel Add-ins,How to input user-defined functions into other Excel workbooks as an Excel Add-in.,,spYUnxZVIbA,,https://www.youtube.com/watch?v=spYUnxZVIbA
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,Using Input and Message Boxes in User-Defined VBA Functions,Demonstrates why using Input and Message Boxes in user-define functions in VBA and Excel does not work.,,F454hB4hAq8,,https://www.youtube.com/watch?v=F454hB4hAq8
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA Do Loops Example: Guessing Game,Example of using Do Loops to create a simple random number guessing game in VBA.,,GSkAwpBlh5k,,https://www.youtube.com/watch?v=GSkAwpBlh5k
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA Example - Diagonals Array Function,Demonstrates how to create an array function that finds all of the diagonals in an array and displays them in a vector.,,gWJBSubhCHM,,https://www.youtube.com/watch?v=gWJBSubhCHM
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA Example - Residuals Array Function,Demonstrates how to create an array function that determines the residuals from a set of x and y data.,,jL8iQHAYJzw,,https://www.youtube.com/watch?v=jL8iQHAYJzw
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA Example - Sort Array Function,Demonstrates how to create an array function in VBA to sort an array. This function is then modified from an array function to a normal function at the end.,,3S_KDk8Ts7E,,https://www.youtube.com/watch?v=3S_KDk8Ts7E
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA Example: Temperature Data Analysis,Demonstrates how to create subroutines that go through a large amount of data to find the days that had a high or low temperature above or below a desired temperature.,,QhbnS2ynp9o,,https://www.youtube.com/watch?v=QhbnS2ynp9o
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA Function Example: Cone Volume,Goes through an example of making a user defined function that calculates a cone volume.,,jR3BlvIDtfk,,https://www.youtube.com/watch?v=jR3BlvIDtfk
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA Function Example: Fuel Efficiency,Shows how to create a user-defined function that calculates the mileage of a truck.,,BELV3dN6oR4,,https://www.youtube.com/watch?v=BELV3dN6oR4
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA Subroutine Example: Editing Data Sets,Creates a subroutine using for loops and if… then statements to easily remove -999 and -998 from a large amount of data.,,T_IxwjpcUiU,,https://www.youtube.com/watch?v=T_IxwjpcUiU
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA Subs and Functions with Arrays,Examples of how to write subroutines involving arrays in Excel using Visual Basic for Applications.,,uO4Hpygd5Wc,PL587E12CFE1977F08,https://www.youtube.com/watch?v=uO4Hpygd5Wc&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA: Coding Do Loops,Codes different types of do loops in VBA.,,Sz8X6Jy1qws,PL587E12CFE1977F08,https://www.youtube.com/watch?v=Sz8X6Jy1qws&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA: Do Loop Example,Example of input validation using the do loop function in VBA.,,6OKBAvvCbQo,PL587E12CFE1977F08,https://www.youtube.com/watch?v=6OKBAvvCbQo&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA: For Each and For Next Loop Example,Explains the difference between the For Each and For Next loop commands using an example program.,,zSy1OMSefww,,https://www.youtube.com/watch?v=zSy1OMSefww
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA: For-Next Loop,Explains for-next loops in VBA for fixed iterations.,,9bFtkpCNgvc,PL587E12CFE1977F08,https://www.youtube.com/watch?v=9bFtkpCNgvc&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA: For-Next Loop Examples,Examples of iterating through vectors and arrays in VBA using for-next loops.,,0lOUtEmY5ug,PL587E12CFE1977F08,https://www.youtube.com/watch?v=0lOUtEmY5ug&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA: Performing String Searches,Describes how to perform string searches in Excel using VBA.,,OjVhhLYRWAU,PL587E12CFE1977F08,https://www.youtube.com/watch?v=OjVhhLYRWAU&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA: Running Subroutines in Multiple Files,Shows how to call subroutines in multiple files using VBA. This method utilizes modular programming.,,Mo_sLhh6c8A,,https://www.youtube.com/watch?v=Mo_sLhh6c8A
Engineering Computing,Excel,VBA Functions/Subroutines/Loops,VBA: User-Defined Functions,Example of how to create a user-defined function in VBA.,,GTPO7wttzgU,PL587E12CFE1977F08,https://www.youtube.com/watch?v=GTPO7wttzgU&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA User Forms,Combo Boxes in Excel,Uses Visual Basic for Applications (VBA) and Microsoft Excel software to code combo boxes.,,CAvtJCmiMe8,PL587E12CFE1977F08,https://www.youtube.com/watch?v=CAvtJCmiMe8&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA User Forms,User Forms 1: Check Boxes,The check box control in VBA is demonstrated for Excel 2010. Part 1 of 2.,,PvIbB5GRCGA,PL587E12CFE1977F08,https://www.youtube.com/watch?v=PvIbB5GRCGA&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA User Forms,User Forms 10: TankForm Example,Demonstrates how to make a user form in VBA that calculates the volume of a partially filled tank.,,9G_GQiJiJnc,,https://www.youtube.com/watch?v=9G_GQiJiJnc
Engineering Computing,Excel,VBA User Forms,User Forms 11: Input Validation in User Forms,Demonstrates how to use input validation with userforms by using if statements and exiting the subroutine.,,N_l7vTnt6pw,,https://www.youtube.com/watch?v=N_l7vTnt6pw
Engineering Computing,Excel,VBA User Forms,User Forms 12: Reactor Conversion Solver Example,Creates a user form that calculates the conversion of a reaction by utilizing the bisection method.,,G-XYlSKtGZ4,,https://www.youtube.com/watch?v=G-XYlSKtGZ4
Engineering Computing,Excel,VBA User Forms,User Forms 2: Message Boxes,The message box function in VBA is explained for Excel 2010. Part 2 of 2.,,-xLRmr1oujI,PL587E12CFE1977F08,https://www.youtube.com/watch?v=-xLRmr1oujI&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA User Forms,User Forms 3: Calculations,Explains how to perform a calculation within a user form in VBA.,,i7gysQk7Bd0,PL587E12CFE1977F08,https://www.youtube.com/watch?v=i7gysQk7Bd0&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA User Forms,User Forms 4: Multiple Inputs,Uses inputs from multiple user forms to perform a calculation.,,JtrmOU1RIAM,PL587E12CFE1977F08,https://www.youtube.com/watch?v=JtrmOU1RIAM&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA User Forms,User Forms 5: Complete User Forms in VBA,Designs a sophisticated user form that calculates either the surface area or volume of a 3D shape using VBA.,,x1Rr5JA3kqU,PL587E12CFE1977F08,https://www.youtube.com/watch?v=x1Rr5JA3kqU&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA User Forms,User Forms 6: Example 1,Develops a user form in VBA to calculate taxes given income and marital status.,,vdFdXfhR5_k,PL587E12CFE1977F08,https://www.youtube.com/watch?v=vdFdXfhR5_k&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA User Forms,User Forms 7: Example 2,"Uses VBA to develop a user form to estimate the cost of a heat exchanger given type of heat exchanger, internal heat exchange area, construction material, and inflation.",,bmWrEu5KK38,PL587E12CFE1977F08,https://www.youtube.com/watch?v=bmWrEu5KK38&list=PL587E12CFE1977F08
Engineering Computing,Excel,VBA User Forms,User Forms 8: Fuel Efficiency User Form Example,Another example of a user form calculating fuel efficiency. Also the screencast explains when it is necessary to dimensionalize a variable and when it is not in a user form.,,_0mPQzFXL5k,,https://www.youtube.com/watch?v=_0mPQzFXL5k
Engineering Computing,Excel,VBA User Forms,User Forms 9: Periodic Table Example,Demonstrates how to populate a combo box and pull information from corresponding columns of data. Also demonstrates how to set up the user form so as it will update with a change in the item selected in the combo box.,,gzIBC_6ZFXI,,https://www.youtube.com/watch?v=gzIBC_6ZFXI
Engineering Computing,Excel,VBA User Forms,User Forms in Excel,A simple user form is created using VBA for Excel 2010.,,yo0GQX-e9s4,PL587E12CFE1977F08,https://www.youtube.com/watch?v=yo0GQX-e9s4&list=PL587E12CFE1977F08
Engineering Computing,Software,Mathematica,Creating Interactive Simulations in Mathematica,Demonstrates how to use the Manipulate command in Mathematica to create interactive graphical output from the solution of two ordinary differential equations. The equations used are for two reactions in a batch reactor.,,5XXiNa53gew,PL4xAk5aclnUg8Ym6QGw9XUsPS6OveOyqo,https://www.youtube.com/watch?v=5XXiNa53gew&list=PL4xAk5aclnUg8Ym6QGw9XUsPS6OveOyqo
Engineering Computing,Software,Mathematica,Non-Linear Regression in Mathematica,Demonstrates how to use non-linear regression in Mathematica to determine kinetic parameters. Uses the NonlinearModelFit function in Mathematica.,,9SIV9S_-bNk,PL4xAk5aclnUg8Ym6QGw9XUsPS6OveOyqo,https://www.youtube.com/watch?v=9SIV9S_-bNk&list=PL4xAk5aclnUg8Ym6QGw9XUsPS6OveOyqo
Engineering Computing,Software,Mathematica,Numerically Solve ODEs with Mathematica 1,Demonstrates how to use the Mathematica function NDSolve to solve two ordinary differential equations numerically. This is an initial value problem for a batch reactor with a single reaction. Part 1 of 2.,,gOKuA6pklBQ,PL4xAk5aclnUjkfGRkqxRKspPIvJ3mF035,https://www.youtube.com/watch?v=gOKuA6pklBQ&list=PL4xAk5aclnUjkfGRkqxRKspPIvJ3mF035
Engineering Computing,Software,Mathematica,Numerically Solve ODEs with Mathematica 2,Uses the solution from the Mathematica 1 screencast to show how to format a plot. Part 2 of 2.,,AFD0UhWWU-Q,PL4xAk5aclnUjkfGRkqxRKspPIvJ3mF035,https://www.youtube.com/watch?v=AFD0UhWWU-Q&list=PL4xAk5aclnUjkfGRkqxRKspPIvJ3mF035
Engineering Computing,Software,Mathematica,Plot Equations with Mathematica,Shows how to plot two equations in Mathematica and how to make multiple plots for different values of one parameter in one equation. The equations used are the mass and energy balances for an adiabatic CSTR.,,wJKLmBderHY,PL4xAk5aclnUg8Ym6QGw9XUsPS6OveOyqo,https://www.youtube.com/watch?v=wJKLmBderHY&list=PL4xAk5aclnUg8Ym6QGw9XUsPS6OveOyqo
Engineering Computing,Software,MATLAB,Basic Functions in Matlab,"Overview of common functions used in Matlab programming, including trigonometric and array functions.",,gdsJL1NZEfY,PL4xAk5aclnUg8Ym6QGw9XUsPS6OveOyqo,https://www.youtube.com/watch?v=gdsJL1NZEfY&list=PL4xAk5aclnUg8Ym6QGw9XUsPS6OveOyqo
Engineering Computing,Software,MATLAB,Introduction to Matlab,Demonstrates several ways to solve a derivative using Matlab.,,RnpmsjtFEcI,PL4xAk5aclnUg8Ym6QGw9XUsPS6OveOyqo,https://www.youtube.com/watch?v=RnpmsjtFEcI&list=PL4xAk5aclnUg8Ym6QGw9XUsPS6OveOyqo
